Warehouse Code,Warehouse Name,GST,Internal Key,Group Code,Inventory Account,Cost of Goods Sold Account,Allocation Account,Locked,Data Source,User Signature,Tax Group,Street,Block,Zip Code,City,County,Country,State,Location,Drop-Ship,Exempt Revenue Account,Allow Use Tax,Nettable,Object Type - History,Log Instance - History,Creation Date - History,Updating User - History,Date of Update - History,Business Place ID,Owner Code,Negative Inventory Adjustment Acct,Stock In Transit Account,Address Type,Street No.,Purchase Balance Account,Excisable [Yes/No],Incoming CENVAT Account (WH),Outgoing CENVAT Account (WH),Ship-to Name (WH),WIP Offset P&L Account,Inventory Offset P&L Account,Storekeeper,Shipper,Bin Activated [Y/N],Bin Separator,Default Bin Internal Number,Default Bin Enforced [Y/N],Auto. Issue Method,Drop-Ship Manage SnB,Receiving Bin Locations Method,Enable Receiving Bin Locations,Global Location Number,Restrict Receipts to Empty Bin,Inactive,Recv. up to Max. Qty,Auto. Receipt Method,Recv. up to Max. Weight,Receive up to,Free of Charge Sales Account,Free of Charge Purchase Account,Tax Office,Address Name 2,Address Name 3,External,Bank,Address,Account Name,NEFT/RTGS Code,Account Number
7,Mumbai - Altamount,27AAGCB7343G1ZN,,,,,,N,I,1,,"18, Deluxe, 664 Altamount Road",,400026,Mumbai,,IN,MH,2,N,,N,Y,64,,18-Nov-2017,1,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
6,Pune - Kothrud,27AAGCB7343G1ZN,,,,,,N,I,1,,"Vishal Redake, 203, Dhoiphode Building, Near Bapuji Buva Mandir, Bavdhan, Kothrud","Near Bapuji Buva Mandir,",411021,"Bavdhan, Kothrud,Pune",,IN,MH,8,N,,N,Y,64,,18-Nov-2017,1,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
3,Mumbai - Bhiwandi,27AAGCB7343G1ZN,,,,,,N,I,1,,"C/O Expeditors International (India) Pvt. Ltd., Shree Sai Corporation, Building No.C1 Mumbai Nashik Highway, Next to Sangrila Resort, Opp. R.K. Petrol Pump, Borivli (Kuksha) Village Bhiwandi",,421302,Thane,,IN,MH,3,N,,N,Y,64,,18-Nov-2017,1,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
28,Drop Ship - Ahmedabad-Dev Priya,24AAGCB7343G1ZT,,,,,,N,I,1,,"45 Dev Priya 1,Besides Seema Hall, Front of Nataraj Medical Store,  Anand Nagar Road,Satellite ",,380015,Ahmedabad,,IN,GJ,6,Y,,N,N,64,,15-May-2018,1,31-May-2018,6,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
27,Drop Ship Ahmedabad - Bopal,24AAGCB7343G1ZT,,,,,,N,I,1,,"43 & 44 , Amrapali Axiom, Nr. Bopal approach BRTS,Ambli Bopal",,380058,Ahmedabad,,IN,GJ,11,Y,,N,N,64,,15-May-2018,1,31-May-2018,6,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
26,Drop Ship - Delhi Janakpuri,07AAGCB7343G1ZP,,,,,,N,I,1,,"C-6B, 156 Janakpuri","C-6B, 156",110058,New Delhi,,IN,DL,7,Y,,N,N,64,,15-May-2018,1,31-May-2018,8,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
25,Drop Ship - Lower Parel,27AAGCB7343G1ZN,,,,,,N,I,1,,"2nd Floor, A Wing, Todi Estate, Sun Mill Compound, Lower Parel West",,400013,Mumbai,,IN,MH,1,Y,,N,N,64,,15-May-2018,1,31-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
2,Mumbai - Lower Parel,27AAGCB7343G1ZN,,,,,,N,I,1,," 2nd Floor, A Wing, Todi Estate, Sun Mill Compound, Lower Parel West",,400013,Mumbai,,IN,MH,1,N,,N,Y,64,,18-Nov-2017,1,19-Jun-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road, Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
23,Indore,,,,,,,N,I,1,,"Nikhilesh Patil 23 Satyam Vihar, Bajrang Nagar,Pantipura",,452010,Indore,,IN,MP,13,N,,N,Y,64,,08-May-2018,1,31-May-2018,10,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
22,Bangalore - Hoskote,,,,,,,N,I,1,,"Shree Lakshmi Venkateshwara Nilaya, Opp. Karnataka Bank, College Road, M.V Extension, Hoskote",,"562114,",Bangalore,,IN,KA,9,N,,N,Y,64,,08-May-2018,1,31-May-2018,9,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
21,Vadodara - Manjalpur,24AAGCB7343G1ZT,,,,,,N,I,1,,"A/8, L.G. Park Society, Near Darbar Chokadi.  Manjalpur",,390020,Vadodara,,IN,GJ,4,N,,N,Y,64,,08-May-2018,1,31-May-2018,6,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
19,Chennai,33AAGCB7343G1ZU,,,,,,N,I,1,,"Plot no:12, Flat No:B, Sai Krupa Apartments, Kilbaann Nagar, Madhavaram",,"600060,",Chennai,,IN,TN,12,N,,N,Y,64,,08-May-2018,1,25-May-2018,11,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road, Mumbai 400026.",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
20,Ahmedabad - Bopal,24AAGCB7343G1ZT,,,,,,N,I,1,,"43 & 44 , Amrapali Axiom, Nr. Bopal approach BRTS,Ambli Bopal",,380058,Ahmedabad,,IN,GJ,11,N,,N,Y,64,,08-May-2018,1,31-May-2018,6,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
24,Supplier Warehouse,,,,,,,N,I,1,,"Sun Mill Compound, Lower Parel West,",,400013,Mumbai,,IN,MH,1,N,,N,Y,64,,08-May-2018,1,25-May-2018,1,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road, Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ldt,SBIN000510,3592412236
18,Delhi - Okhla,07AAGCB7343G1ZP,,,,,,N,I,1,," S-2, 2nd Floor, Okhla Phase-I",,110020,New Delhi,,IN,DL,5,N,,N,Y,64,,08-May-2018,1,31-May-2018,8,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
15,Ahmedabad - Dev Priya,24AAGCB7343G1ZT,,,,,,N,I,1,,"45 Dev Priya 1, Besides Seema Hall, Front of Nataraj Medical Store, Anand Nagar Road, Satellite",,380015,Ahmedabad,,IN,GJ,6,N,,N,Y,64,,08-May-2018,1,31-May-2018,6,1,,,,,,N,,,,,,,,N,-,,N,,N,,N,,Y,N,N,,N,0,,,,,,N,State Bank of India,"Kalpa Taru - 39, Pedder Road,Mumbai 400026",Bulk MRO Industrial Supply Pvt. Ltd.,SBIN000510,35924122136
